SA2,SA2 NAME,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
101021007,Braidwood,2133,2153,2262,2315,2361,50,50,50,51,51,101830606,109961530,115564780,119439615,120763285,38093,39716,41288,42003,41593,47741,51074,51090,51594,51149
101021008,Karabar,4866,4937,4988,5059,5100,43,42,42,42,42,289762288,301618607,311923113,322715297,338308979,54942,55870,57880,59295,61777,59548,61093,62535,63790,66335
101021009,Queanbeyan,6194,6419,6486,6595,6697,40,39,39,39,39,367366063,390044004,395374979,414579067,441160946,54716,54999,55376,57848,60119,59310,60764,60958,62863,65874
101021010,Queanbeyan - East,2971,3106,3230,3392,3393,40,40,40,40,40,186867083,199164715,211520090,232611414,237035656,55268,55650,57380,60166,63051,62897,64123,65486,68576,69860
101021011,Queanbeyan Region,9768,10381,11532,12213,12821,46,46,45,45,44,717452753,790019714,875609556,964410618,1050285692,62857,65366,66227,67998,71420,73449,76102,75929,78966,81919
101021012,Queanbeyan West - Jerrabomberra,8067,8039,8272,8509,8476,43,44,44,44,44,618616023,639311430,667990366,697740895,725602722,67545,68719,69787,71350,73851,76685,79526,80753,82000,85607
101031013,Bombala,1358,1301,1365,1382,1369,49,48,49,49,50,67898894,69218945,79115739,77833542,71777152,42237,44115,47525,46094,44428,49999,53204,57960,56319,52430
101031014,Cooma,3711,3680,3800,3792,3777,47,47,47,46,46,188193949,187910847,195032875,203325732,206500749,43231,43586,43326,45230,47029,50712,51063,51324,53620,54673
101031015,Cooma Region,1823,1832,1926,2031,2066,49,48,48,49,49,88452143,93931414,105189628,109527983,111397467,39666,40074,42668,43342,44743,48520,51273,54616,53928,53919
101031016,Jindabyne - Berridale,4015,3953,4333,4400,4458,44,44,43,44,44,191710820,196867405,219472868,232492288,243613766,37861,39832,41261,42182,44972,47749,49802,50651,52839,54646
101041017,Batemans Bay,3698,3724,3827,3979,4079,51,50,50,50,50,151465867,157091069,161694024,170956895,181282485,34370,36310,36347,37296,37992,40959,42183,42251,42965,44443
101041018,Batemans Bay - South,4161,4231,4366,4514,4619,52,53,53,52,52,191690426,191612124,199426745,216777289,227733833,35274,35501,37060,38676,40029,46068,45288,45677,48023,49304
101041019,Bega - Tathra,4700,4781,4782,4868,4911,48,48,49,49,48,223576125,234003913,237869822,246813118,255340233,40022,41931,42796,43074,45148,47569,48945,49743,50701,51994
101041020,Bega-Eden Hinterland,4830,4908,5208,5361,5423,51,51,51,51,51,202145509,212075474,228258656,232945258,236854145,34404,35601,35345,35942,36150,41852,43210,43828,43452,43676
101041021,Broulee - Tomakin,1750,1792,1894,1953,2019,51,51,51,52,52,82568484,88260992,93876079,99586111,108608277,37191,38783,40320,41580,43001,47182,49253,49565,50991,53793
101041022,Deua - Wadbilliga,np,np,18,14,13,np,np,49,50,51,np,np,801768,651616,575075,np,np,24517,37763,26366,np,np,44543,46544,44237
101041023,Eden,1653,1720,1732,1762,1743,50,50,50,50,50,73902206,77123301,77274388,80314442,79943421,36380,37566,38308,38979,40258,44708,44839,44616,45581,45865
101041024,Eurobodalla Hinterland,1866,1877,1926,1964,1995,51,51,51,52,52,81680924,83395518,89397640,92987920,101713855,34788,35163,35748,37816,38809,43773,44430,46416,47346,50984
101041025,Merimbula - Tura Beach,6044,6125,6334,6403,6527,52,52,52,52,52,269922187,283366275,295312923,302121272,324099790,36424,37044,37317,38566,40379,44660,46264,46623,47184,49655
101041026,Moruya - Tuross Head,4237,4305,4342,4487,4500,52,53,53,53,53,180594948,187138520,192516662,202775101,210069135,34876,36071,36337,37579,39335,42623,43470,44338,45192,46682
101041027,Narooma - Bermagui,4572,4582,4723,4829,4891,55,55,55,55,56,183339019,182670341,189529575,198551321,212632765,30491,31652,31098,33188,33647,40100,39867,40129,41116,43474
101051539,Goulburn,11636,11992,12127,12317,12643,44,43,44,43,43,607994653,648867901,655559519,684089969,731155106,44894,47062,47272,49116,50851,52251,54108,54058,55540,57831
101051540,Goulburn Region,6861,6985,7256,7435,7483,49,49,49,49,49,348045778,358662691,385468452,402747216,408586880,40575,41443,43358,44979,44791,50728,51348,53124,54169,54602
101061541,Yass,3799,3845,3857,3888,3936,45,45,45,45,45,213849142,223397125,225533404,231540832,240435573,48955,49839,50593,52363,54429,56291,58101,58474,59553,61086
101061542,Yass Region,6710,6816,7176,7498,7758,47,47,47,47,47,446240890,474253373,507131032,546302053,577029247,54493,57070,56952,59102,60596,66504,69579,70670,72860,74379
101061543,Young,5373,5437,5492,5534,5490,45,44,44,44,44,260884383,266063185,273046931,281424060,280102081,40471,40932,41325,43226,44289,48555,48936,49717,50854,51020
101061544,Young Region,3697,3576,3821,3897,3917,49,49,49,49,49,178379783,178864497,195977222,201113192,197516813,39642,41399,41985,42688,42455,48250,50018,51290,51607,50426
102011028,Avoca Beach - Copacabana,4427,4526,4621,4690,4736,46,46,46,46,47,292778325,311664519,323024286,341299263,340642238,46996,47661,48908,49479,50369,66135,68861,69904,72772,71926
102011029,Box Head - MacMasters Beach,6260,6389,6562,6577,6662,49,49,49,49,49,355743857,371029605,388268724,402084852,424459788,42621,42597,43638,45190,47179,56828,58073,59169,61135,63714
